Name,Image,RevitFamily,Style,Hook At Start,Hook At End,HookOrientation0,HookOrientation1,RevitVersion,CreatedByOrganization,LengthParameter,RhinoBaseLineType,CreationMethod,Progress,Notes
18,18.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/8Pyr8sK7vGbYnHaCF-0Xkw/2sTf51xhvhk0zt7eVNyRzSCVptg5VUlTDDN7p6FUJ_cL__J5XcBqcpHVSJ4UPd-IKBPN7VE8qSNejUrah4RtpvRD5sN40EbqieWbw-BL-NPnyfuHQpZA1TqRU9yVzI7u_5gIhL1RHAdegVkQdLwPFQ/SenBAVZzUMK4taxnq1Z2klskcn8wgCtIlnwnK9QkWEE),18.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/t9ML7ajzCEVz60dMCUq4Rw/Bsz9Sr0h0p1OAQdycazs-G_tJ2dA7i3NaMRiod-cz5N3Y6ljES4Pyl0SWhAH4k7iju6ZVQo67R9y6g4nY02yOe3K1uoYvB5hZw4e7xxoz-pPSFJ1kmHAwraf72PaJyl0mgMCIAT-pxpQKvRr1GfwZQ/rdK1KyUNLTFmthw3QxKvJ5WTFu0n0-MGBLHDysu9LO8),Standard,135,135,Left,Left,2023,Autodesk,"a,b,c,d",rg08,CurveAndShape,Done,
19,19.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/1zmqw-GSbCO0BB8lIZxNxA/E4Szh6FRKv4R_5GCUpr0iPVkc8fiPrRwfR-aLL9EhSWYUIzQdYZmmW7LYOC15xGv2qPSMvQz0GUD8dJfVpnNSWTtdiOI1Gx1MFKvY_udy05KFwqLpNnKdrcj2ar244uwhFdoTWrGW2KMy1YAGdIoNQ/4SK9XLhTw5SEOVyf4R4bhVeI9K1S2-4AocCRzFD5r40),19.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/2PF25MIidfxaEWBaGXucdQ/nLImJb0JxYMdWgOkosXiaa_BWUFH5jAoKZ5jsFfhkOJ9P55pGMEbY6wY5WUKA_zKpl_4_TF8tpOPPl-BNT1a3gc9rIYMHTai9ccIuXQ8Mvnad_hIezNx09mVPyThHagvDDpfl7j_Th472ha1oIR_YQ/KvSRPkQonCADZRbErvqdnJTQo7FIXf6xGz4h33AO91Q),Standard,135,90,Right,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
20,20.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/rzUngKkg893BCDdW4xHzUw/xqb1YjCtwhIEopkDI0FQ5dTiKMgvXYwD4-pP9TDTf4TfR21RQCBdzrfiGRXokyckvoBDP9WTzwYWvNyWWpGdW-VzIuLrevSgsJSg35CIwiHUxbbYMJipHnMKGju8kwWmT7fcrvVeFYxwiWtMPSBTTA/w09mntxc0rvK2lbhyXZLDvilD8tEypZ_6FGGb54eBgI),20.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/FyPJSQFNycF3jM6fcCqDMg/me7k_yXJ7LAezBCFvRlwpgouMEXwniFnhel5Sm83oyyg6g9IBdyk9Fy7H_-o6pU8Bx575GWHd1YvDYe3osG8Aqqrl91w9OGfVhEXe1sWLkar2T3Xwt3lrIw_AObMsBryKnShfr4yKAOdN4H_b8ps9g/p33PxOpM64-Qm4nZ6jnnTVQxsM1Vt9EoUcYwFjYyLTE),Standard,135,135,Right,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
21,21.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/k-JBFoOoYJFrnLFIAsgSIw/n8dzpr-oZ0FxTOVIYE3alwO9TOa4zOsUNo8clPp0j6cKtst-xaUhA2g5poZm09WJGIt3BoSuDbVWCHZK1hzh0VkUUSUXDhVvY3nMeFexntEnCWS8bNr8SNA-RrdYzOH_ekngd6mI9_SXoAtcJCdTjg/-PvUudnJ-DU8BRHHdpYc6miSsSxqMmkoQULkn8T5dqA),21.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/OY6uzt0med_o6-VfRsKbyA/LenGPkxT4sTZYc6RvGKWT-O4v1bKJzI_Tf4cWaty2uTBssB7e8m6wujhJx6M-u5uiRKufvsjuX-oaziFg2SQqIpXmvyrT3_HaJKnEWNgY4XxFgMQBGPwplXNwiqzc-sk_-V4VhW9B7urLE76HI6IcA/ekfMUkuu99K9SfYoThKs7GuktQM87d7C4KiaQ0dVv7Y),Standard,90,0,Left,Left,2023,Autodesk,"a,b,c",rg06,CurveAndShape,Done,
22,22.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/_GsUW7Rlcgcfjc3I30YxGQ/X_g38cHXCj3bvs63obWKN8-FO5fgIkqB9Xy06vUeepsPagTQGk3sPKUNu6KKKWJJn457HGqxUb2DOuDuVtSxjZo0iXDjFijIjuj4TFFTuPmbETsT7LwTchqL2XgmtbEeYtvhumRIpHlzyoOLqsk6DA/IhxgbFIBrrOnQrPuA7wOK4EYUIVqL_GXoC9yT039lZA),22.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/4HqQWTFR3Azk6Y3AZwOeLw/gG-UFbdawKSIveAIwMettpyIboC0aMoCsT4B6ilLh-oCVpuvUxEWEEOk_LX9hKx5pUtl1DWt-FuaUmQLKm9bnKGV--TcGr_KAE64bcoUbmt4T_6UNpZudHQqmqjaZTxYbySBrIqsrhYZAmipaQH_ZQ/PZAFc8XhcW0NJs3sUtN1G16HOAA90zflqd91gPA4a7I),Standard,0,0,Left,Left,2023,Autodesk,"a,b,c,d",rg09,CurveAndShape,Done,
23,23.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/j_ju35x1QQCOjBV64gDbbg/Bi47SbvxqVMRfr0h5lSQikb_fTHNA9nNH1FugZGLzLkKR57HfwKsrDPeSB3PJ6R5VEA41YjelsQTUCHH2f-Bic54jcYVRbxC3YK4W9z5WzpexJzo6ywRpd68cFG5dTpcfxOUfVVDHpz1oYjgiH2fUw/yIHs84vZ7B4of1_TuVkoM90nJSrQ-AkaR0ywLyDv0ow),23.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/FkkR-w1UD_GPzAQ3hFLxlw/g5kboRV-uVuD0Cf12Sc3jl0aIJHyq2QX0GMPIwFjuPsSu_DIZUtunahLV7X_QFGqgaSf_Y6ZGsbwPB_4VCoqMztSOxeV9PK7zcCbfRS7wLuB8YSFuTAxwl7Dy-hzMF54aRsxsnXSuDXN9Bc9K-BTeA/k06ipzJVWtww0smsfA1YKU_knJRCS7JBgefYwwKYPKM),Standard,0,0,Left,Left,2023,Autodesk,"a,b,c,d",rg10,CurveAndShape,Creating,60 angle
24,24.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/dar_85WfFFogttEElnIiCA/Zp1J43TprtiooKTPDN1FazQs33St-LUMz4E8_dtT9uYZPCBYVSZGeQECHUAecxQxG_86TRF7ltQ5fusqFOrN1tXmBt7cijKawWOF80KOBUCqoP3rZBc2gvpG4J6GNt07GDXptDtXx9A3aRGJ0Sp0Pg/U-PBOnetkUybR_8HjRYlSF5NAcfdXF3hu10W0JgIF3s),24.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/5hP-5B-fAqoeuQMeFlZJTQ/Co3xQ13RGUnnNmKcgrkbfYPd4EY4NcNrG7ZT9r4uU6t58qHytC5kXtdvTmqSmpMm_UA-UXFFQW-NCLzZxT3dZ02ZocTKoP2C3y9msqucw0WfbrSfyHunNmtT_TYAjxii5hnL1yPYOg5dlmvK9pzPSw/8sgz3GIbA9iP0tfofb8cbGB-zex8JnqAhAZVT0azI0s),Standard,0,135,Left,Left,2023,Autodesk,"a,b,c",rg06,CurveAndShape,Done,
25,25.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/IGhfiJgSmCFuibLGv8DfTA/4aZ6_vpywMBjT3ti3yClF_GZbL8-nKjpeGyk0o4TX9A_IaI5-ZgF-Xomi2Pjy2Rx69P2Squha3reiFrAWTa_dD3Z48D3nngkEcQhsIFAQ-sq9l9iRjQTSsC18ROrUMBDB_J8cMizRsClrYMet9LOVQ/EqWuuoYhejrsQZDMYYGNYUh6o0mqACmWKP85JT_gNYY),25.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/Gdg3WKFdlaNS2B-fadLbOw/nozxFFVksdVefOlDXStpE72HCRsTmQuPuDL9U0vcswf6iEgrpxoh8OnqtpOxXkMUNtJrZ22JHpwbnbaaxamLx0v-Nm7AT8UMe_vrwLnF-q8GKN7XJl7Ge77twoqhnE0o90arY1RFmwCxPHWoJkV9lQ/mgUTwtI1VuElS8HdEWLP0c6j6CMdLgzIY1CF0gT1CHw),Standard,0,0,Left,Left,2023,Autodesk,"a,b,c,d,e,g,h,x,y",rg15,CurveAndShape,Creating,
26,26.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/LbH6ehCo0QbgNRAYXvryag/CzX2-0KGty2qMlS_IdxMuswFl0C3UNZ7DidL2ILvRFa3JxSeZ3g9I3gMmc1hNWB0ai1YwY3Iq8LENrYPWmbPdbr51QkLW_45b_-sI4akNU7Vv3b_TbihpvPlLsXASptGk2-75YY5815MYw-ViZsCww/fLr6ZSgPldE8HClLuG9VFEV61O1z8B_-mvpw-QlUKsY),26.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/HK7pBswGIUEQ-7oxQv-lrg/vayt8hLBIwczL034fLUWI9CP0BWaFI-5XTacSgnyNPOeoSm2VBD75kBOITPKJCKQLAd0uMPdIbmfzM8R3z38nKGAep9OFUs6kx9OhxyiTBqRr_3_X9L27lHWazVbZuuhWMx6cbktn_Py0i1OO-vn8A/jTUL8VLk2zsww1uxr0KPOfJBEICMdKe2Ff5mOGdrKLI),Standard,0,0,Left,Left,2023,Autodesk,"a,b,c,d,e,f,g,h,x,y",rg14,CurveAndShape,Creating,
27,27.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/5OqNebz-EjUqpI9PoBeySg/Dw5jJ8TpW2fC87qsEDRowqU5YdUhasviNTCmH0YIh-ED4hh5L23-B2DRxF_QrjHZpWa7SRKWfl8FLJKSy2CBaW0wCy6FSXxsIbV9sf9SPV4J8aDqXca7DiO_VxBjLcQQzLD92SJzDefVA7jhNcs_Qw/PoaNF0lTnZFPzM7yokWK4zpNoLm-loLD_VovZhjVJuI),27.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/9WzPch4crppGAn1yI-WO8A/ZUDQ_uK-W6tAwlvLj3KDV5L-Ph8OKReEu_G4pe8Eke7Aqc-A8_bGf_r5w1j9xTuYQ2BiIlbyP0urih9YjxjhXqOki4dwvsXJS403CLzbppdwMUwa5Y7hG0hAhyMx-fbVCyfeshiB1MkHR3OLT45GBw/npuN2FEA6n1IwuGBugekpTCpWysoag1g10s8ieEotiA),Standard,135,135,Right,Right,2023,Autodesk,"a,b,c,d,e,f",rg12,CurveAndShape,Creating,
28,28.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/HHtWjeNEWYhRipq6JGFIoQ/4wevsXVlQvlYlGdQBnMbVlttDCxZI5rQqnkppMYbv3JanNtqlhiCexazcRqurqdWuhk_ZvoXUeUtcC9LEwaU_ZFYotl3k65_9I5g89sZmcbx4VZ8n5UladcAXKpGoDfKQ0hPmekkcxOwcbH5gwutRw/Lv_IxsrIQi3JIDZs3nrngjXFzIsmYeZChHfjWHoAjUw),28.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/e6fINEuLN3v5TaGw-7ng7A/I1fffKb_OTdHrVvM2srIfRMi0TVF6_fmLRrx87ISHc6lmx0aazXPgYvPOTf1yot7LFhPtDJvcZtUk99y_Lj8tWvUebIW0uvJWiBk8d6p_K0YWS4fr5HZehHaK_rlv3_h2SbWUft47il_ijEWUt93bA/2XP2GYIzAabJY9VQ9gIHgEW6_Y0q1lmpY9yunYjNKZg),Standard,180,90,Left,Left,2023,Autodesk,"a,b",rg04,CurveAndShape,Done,
29,29.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/o96IvbrA-29uLEbNWTML2w/HqXlG_3pFAwytG8Gu5abJuwrDbSjV_jPDGYnyK5YU_JNkVOpN2Oa8YHzLs4pzINlwwnmX2PRQYQfrLAtZ4tb0bOFDr6drvGflXDDVEy3Syx5NQ_HF00QO8VsXNFJNQr1C9M4_xkKKs5RrUoYTJHCyg/-7jV7ZdgUnPTxg4gQC237VON9nABYqi-e4oPwXUE4-s),29.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/OYi1hZ5Alr-VT5w7DqLMLw/279XDqMURh7dZtxuQ_9sIggFbRm06i5Zz5DNZ6nW4jeVKUGbXz_1L2Otm5w-EFo6WCaWAd9BhT_fm5FeBFfK5EI0_vyE-Yds_NQMa1ELDSeunluo0ZLpfbTeCs1PyWXD3MUPdTSBhaFOtj-8kHKt4g/M9pV90vLYcI_6nxwIUQmPf58guQIQD07vmmfnKDdI4U),Standard,180,180,Left,Left,2023,Autodesk,"a,b,c",rg06,CurveAndShape,Done,
30,30.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/3nG5Lkv1paMTondxmmXu6g/YipzuPQZ2JZhqElpwcWHeYAIThYw4T51DW0O66H2_aJN9LJTrktqfmfiYr9g6OG1GZihil4AUcypLlmaL2U4-3_fCehYO2HPscqYbu2kFnf30bCETNT4uTHBraSsZg0jagf0_oI2sYFBUOkBCV-o4Q/guXkWpkzil0AwJin2un-iIJZp_Iv1N13mWHUSNu34X0),30.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/vXFLFoBDXynxFmM2Ppd05w/36F4C7KAPPK0LOkZtv_gyVQNlT-c4-h4dWW3bQGD_PIHuehr1j3dKBCx-EmzkH11JX7Y5EeUnG5JeceIFWxNKjFfg15E5mtknWw7h2nNh6L6XgZmsBr5rzEO4jyIwSmtnOiqam2meM3NRKM1mRfMPw/Rytq4TypdXOQuXIgWHbAfIWxmI1jgsfYVtdZkw3u_0o),Standard,0,0,Left,Left,2023,Autodesk,"a,b,c,h",rg17,CurveAndShape,Creating,
31,31.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/uhwPVgyPvU-1ZtwXRBshMw/2s86nD2j-to9xw9hDJ-fwY6GtnkEJ9SxpNDT-GloBQc2iCau7cK_uHPbAPCuwoRkVQfR3Yxnr5ZXojee1JjiX7mMWUiCmYBwWKDcaAobFgkpuI8EKEZRzmLEufMmiySQ6oBTqPvK6Yp8j6AtXGIrzw/eEZCsFFpmuK9XuaHkj8vv0h9qxJCKYl02vuVsBddOfk),31.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/8VY469C61JgTapSn2lSaDA/9EjHOzDG9bJy77eqlHa5z_hW0fzLbI7_xPTj1Pqlowtglw-O35ug0jgd4VRzH9g6xtUDc2eaor8jUpmG9BO4NaVCXaQAjTM-gfwblg_NTcMDS-Yc3Q3UTLWQUilzToFvJrGPVLT8nGRzbmufJAj1ng/B6JHgxsr5YiZV69xOOGvAwlfHq1Z7LjkBKJOMUVxRyI),Standard,135,135,Left,Left,2023,Autodesk,"a,b,c",rg07,Shape,Done,
pm01,pm01.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/7OpTa7Ulloj8-5mcDRK27Q/jk1jWEcz4fm_4Zz4sMRc8idyLmVmtIhcAaMAhbCplAZAc79IMLXPm3Q2Sa_vIxyc-4rvkt5QNDltJ2yRn31CFhpxSAinjnA6tYaVO4V6ae98URlBFTSldR6_zlGMJhgc8ImMhJ9I00zyc1FV2AvNeQ/syqVatYjMOC9O7qSrRAMfhAOAVu1i2oJ5e1P1vD--jg),pm01.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/9vHXbAjcneigfGjSYh1oXA/R-StOm8vh_nwSCDqPKK5IBeK-7e0fASQg553x3fdjtmNLYI87WUCJn3R-XvbIh4K6Cdc9GsYBgXczHDsHqExLl8e3YjHTfhXLO-04yqSSfB9JzDnWSVE3e7vhndyT2KqxoafGKRre1npsGwl9IRmVg/KkNC32ICBdCIBatrvHuKCzx7K4ETof4AlA25wXrrQME),Standard,0,0,Right,Left,2023,Shimiz,"a,b,c,d",rg11,CurveAndShape,Done,
pm02,pm02.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/hRXIrOVQIMEou_zuTFG3zw/jwQRo-Xf3P9ZJfVK0aceQ9ys_ynnmZSKZT2cbrAp4lPy8U3BK_76JDm8-QUtVSmdowZmTe-1I62P5VkURFkifbExD75oSyv8TKwoKzAVNI05NNRnK79wdrqR5YPCSXKubF7mrfp4Q2mSAbHfzaAn-Q/HdjIaONTnmiGKcuy4t1svpBnB_hg764IBPtQ8DYBj8E),pm02.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/cYSU3ACO0nl-Gr1uIlnTNw/iza3dKL8FcT-s9imorKMxAcY5jQHO5L26Vm1tyj1uDGf-bGfp_Lo7YrcnS84ULeVSRS4VQxV04g1Uhy-ZMmtJD8MkDtCsfmPDfcEK8eXkFdF9nrOVoF9ZG08RgYRtuPLfb4jlIBBxpQQ3ptYu7gwfg/ZzCNLfKySlWvsQBKMBdtPhC7111gDALRbyu2OVDvJaA),Standard,0,0,Right,Left,2023,Shimiz,"a,b,c,d",rg11,CurveAndShape,Done,
pm03,pm03.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/u6Uz3FoWNVdxv3k3j9wSkw/StFzkGqEJNP1NePoEqqkIiaF4gVhCbRKd3kYzOt_HQlt-F0VEulu2tuEGzZga45HdbENy2HAnFkngT1rcZxOHalfUkFNYDUVuoFAb5eaz03_MuRNd7_kt4hbpk7_lJx6AjikVyPXcn4gW7YsP4Kskw/j-P6JQQvNJE8WfePbXy5xbiVI2XMMt5ems0EJVrhJ9U),pm03.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/AjLSYwNtkEAbSLLjGejP9Q/Hit9D8ztvAX84DKmmxM6X_PrsA4EsMQi-AzMzbc5jhn_EpgjNocE3AlbgCvAKF-lsBz9B7EA8_nyZglbdlbySq1Rt5iO8m1A2cE69zeG9cSKY31dESJhaHd4yZZaEYEbLG93maxiotyTv9otxgtZOA/GAVk0LkKzoSt1VcyfNsGcC8b9vMvYrokmUjC0R4TymI),Standard,0,0,Left,Left,2023,Shimiz,"a,b,c,d,e,f,g",rg13,CurveAndShape,Creating,
pm04,pm04.jpg (https://v5.airtableusercontent.com/v2/23/23/1700892000000/ylcsYdY1Cyr0DwYwcRFojg/gLdayLcbwtSneSiOC5Jsh1RNpk5-FGNw_0OGU9EGpIzy6Aq8RDgHD5evSs_1hfh-60BOiK81BRqjwaNSbAvm5H_0rOR9O6-QHED7zHU2yX0lCjyz6K1a73Nrv8koDw9vi6yGElMhzEPLtLnuS9a7Vw/TFeh9OuH5noCbQ5v7IwYkVOpQPbw74KFoS11r7Yd8bY),pm04.rfa (https://v5.airtableusercontent.com/v2/23/23/1700892000000/PwfG5d3fEIlFCeDS0KTpdQ/BQ6yX-a-sT5IFgBUXPpvxJkiZ1ZDvIM2UUOJwNZ6APtyxVooXVEtlZKKyWk_i_jGVj4epDMLiQTcVZpyGL1KuFgz7VOkGGaB-wDhizwzCPUbOe0kTetTvUHYerNDMVCQKHegBAuo6c7rGoCHbEp9jg/AWgLZieyzzh-yjepUeNBnqyxqadIZ0xE0bRsEINz94w),Standard,180,90,Right,Right,2023,Shimiz,a,rg01,CurveAndShape,Done,
pm05,pm05.png (https://v5.airtableusercontent.com/v3/u/33/33/1726574400000/xUPHkuyTPxtmz2KAgEjLew/f7QjeG5FtpTeFxQfLnKxyTEVFFcaVdjVnCV0cwiVXaFGy8rVrsrLPUk306JlcLISrVwQsWIEXGeSVeyGX7ADiBikiS41EzbsPpX1ggOR5-w5SJwNAAMF439T4FL9i8vJ_T9-pEsxjxPJcOnHWAlktg/mJWu_W1cdxHy614qQyvsEw59t36iGLvn9OSeWhFmztw),pm05.rfa (https://v5.airtableusercontent.com/v3/u/33/33/1726574400000/mILlWYMhyD37-TMAV61Q-A/0l3nwGBrBZMz9DDvJTCsofhKCo7bEDajwI17xyMc05S2V98G_UZrbCrv206w3_yudECLTPKetn5pR8q9rKIgWMXQr2Bcx04ZabU8yLw0CinoElCQmyI_cia_bDyDL7QENEv0qRtUffsXiuR3h3J4nQ/BEBmv_J8k6aCykKeP4LNX3pgxvYVS-TBrJXRLaDjK94),Standard,135,135,Left,Left,2023,Shimiz,"a,b,c",rg21,CurveAndShape,,